algorithm,impl,sm,function,classification,index_pc,index_opcode,addr_pc,addr_opcode,data_pc,data_opcode,index_source_file,index_source_line,addr_source_file,addr_source_line,data_source_file,data_source_line,stride_hint
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0200,LDG.E,0240,IMAD.WIDE,0250,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,4
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,03d0,LDG.E,0480,IMAD.WIDE,04a0,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,03e0,LDG.E,0490,IMAD.WIDE,04c0,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,03f0,LDG.E,04b0,IMAD.WIDE,04d0,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0400,LDG.E,04e0,IMAD.WIDE,0510,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0410,LDG.E,0500,IMAD.WIDE,0530,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0440,LDG.E,05a0,IMAD.WIDE,05d0,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0460,LDG.E,05c0,IMAD.WIDE,0600,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0470,LDG.E,05f0,IMAD.WIDE,0620,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0520,LDG.E,0630,IMAD.WIDE,0680,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0550,LDG.E,0700,IMAD.WIDE,0730,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0570,LDG.E,0720,IMAD.WIDE,0770,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0650,LDG.E,0760,IMAD.WIDE,07a0,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
spmv,base,sm80,_Z15spmv_csr_scalariPKmPKiPKfS4_Pf,exact_chain,0670,LDG.E,0790,IMAD.WIDE,07d0,LDG.E,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,/workspace/prefetch/gpu-app-collection/gardenia/src/spmv/base.cu,22,64
